,tweet
0, आपला समाज खूप मोठा आहे त्यात अनेक घटक अंतर्भूत आहेत यातील दिव्यांग हा एक घटक जो शारीरिकदृष्ट्या कमकुवत आहे त्याच्याकडे समाजाचे दुर्लक्ष होतेय त्यामुळे सरकारने अशा व्यक्तींसाठी उपक्रम राबवून त्यांना समाजात सन्मानाने जगता येईल याकडे लक्ष देण्याची गरज आहे 
1, जरी मी देशाच्या सेवेत मृत्यू पावली तरी मला त्याचा अभिमान वाटेल माझ्या रक्ताचे प्रत्येक थेंब या राष्ट्राच्या विकासास हातभार लावेल आणि ते मजबूत व गतिमान बनवेल श्रीमती इंदिरा गांधी स्वतंत्र भारताच्या पहिल्या महिला पंतप्रधान इंदिरा गांधी यांना विनम्र अभिवादन 
2, आज बारामती शहर परिसरात सुरु असणाऱ्या विविध विकास कामांना प्रत्यक्ष भेटी देत कामाचा आढावा घेतला  शहरासह तालुक्यातील कायदा सुव्यवस्था सुरळीत राखण्यासाठी अवैध व्यवसाय करणाऱ्यांवर कडक कारवाई करण्याचे निर्देश दिले 
3, च्या माजी अध्यक्ष स्व प्रभाताई राव यांना जयंतीनिमित्त विनम्र अभिवादन 
4, कर्जतच्या मारकेवाडीत पोलीस मित्र संघटनेच्या वतीनं आयोजित जाहीर मेळाव्याला उपस्थित राहिलो पोलीस मित्रबांधव आणि त्यांच्या कुटुंबीयांशी संवाद साधला जनतेच्या सुरक्षेखातर अहोरात्र कर्तव्यदक्षता बजावणाऱ्या पोलिसांसोबतच त्यांच्या पाठीशी खंबीर उभं असलेल्या कुटुंबीयांचंही कौतुक केलं 
5, वाढदिवसाच्या हार्दिक शुभेच्छा उद्धव ठाकरे जी तुम्हाला निरोगी व दीर्घायुष्य लाभो या सदिच्छा 
6, नागरिकांच्या सोयीसाठी दवाखाने हॉस्पिटल वैद्यकीय  सेवा आणि अत्यंत निकडीच्यावेळी वाहतूक सेवाही उपलब्ध करून दिली जाईल कृपया मुख्यमंत्री महोदयांनी राज्यात लागू केलेल्या संचारबंदीचं पालन जनतेनं करावं त्यांनी केलेल्या आवाहनाला मोठा प्रतिसाद द्यावा अशी कळकळीची विनंती करतो 
7, परमोच्च बलिदानाच्या सन्मानार्थ आपण शहीद दिवसाचे औचित्य पाळतो मातृभूमीसाठी हसत हसत फासावर चढलेल्या भगत सिंह सुखदेव राजगुरू या वंदनीय शहिदांना तसेच या भूमिच्या रक्षणासाठी सर्वस्व समर्पित करत वीरगती प्राप्त केलेल्या रणबाँकुऱ्यांना विनम्र अभिवादन शहीद दिवस 
8, धन्वंतरी आपणावर सदैव प्रसन्न असू देत निरामय आरोग्यदायी जीवन आपणास लाभो धनवर्षाव आपणाकडे अखंडित होवो धनत्रयोदशी तथा दिपावलीच्या शुभेच्छा 
9, ज्येष्ठ नेते आणि माजी केंद्रीय मंत्री जी यांना वाढदिवसाच्या हार्दिक शुभेच्छा आपणांस निरोगी आणि दीर्घायुष्य लाभो हीच सदिच्छा 
10, आत्मनिर्भर भारत सोप्या शब्दात भविष्यातील भारताचा विचार करून दिलेले पॅकेज भारतीयांना आपल्या पायावर उभे करण्याचा प्रामाणिक प्रयत्न यातून झालेला दिसून येतो 
11, कुस्ती दंगलीतील पंच वस्ताद प्रशिक्षक व पहिलवानांच्या उत्स्फूर्त सहभागाबद्दल आभार अभिमान आहे की महाराष्ट्रातून मुलीदेखील ह्या क्षेत्रात पुढे येतायत त्यांना शुभेच्छा आणि पाठबळ सतत राहील कर्जत जामखेडची जनता रोहितच्या पाठीशी उभे राहत आहे याबद्दल त्यांचे अंतःकरणापासून धन्यवाद 
12, मी कृषिमंत्री असताना मला डॉ रघुराम राजन यांचे काम जवळून पाहता आले स्व यशवंतराव चव्हाण यांना जी अर्थनीती अपेक्षित होती त्याची अमलबजावणी आणि दिशा देण्यासाठीचे व्यवस्थापन डॉ रघुराम राजन यांनी केले 
13, दहावीत अनुत्तीर्ण झालेल्या विद्यार्थ्यांनी खचून जाऊ नये यशस्वी होण्यासाठी पुन्हा प्रयत्न करावेत व त्यांच्या पालकांनीही निराश न होता मुलांमध्ये आत्मविश्वास निर्माण करावा चिकाटीने यश खेचून आणलं पाहिजे  अनुत्तीर्ण विद्यार्थीही जिद्दीनं प्रगती करतील असा मला विश्वास आहे 
14, बीड लोकसभेचे उमेदवार बजरंग सोनवणे यांच्या प्रचारार्थ आज औरंगाबादमध्ये स्थायिक झालेल्या बीडमधील मतदारांशी संवाद साधला बीडकरांना शिक्षण व्यवसाय नोकरीसाठी जिल्ह्याबाहेर जायला लागू नये अशाप्रकारचा विकास करण्याचे माझे स्वप्न आहे या स्वप्नाला सत्यात उतरवण्यासाठी मला साथ द्या 
15, राज्यातल्या महसुली मंडळातल्या गावांत दुष्काळ जाहीर करण्याचा निर्णय म्हणजे उशीरा सुचलेलं शहाणपण आहे विलंबानं का होईना पण नागरिकांना दिलासा देणारा निर्णय सरकारने घेतला आहे जनहिताच्या दृष्टीने महत्त्वाचे निर्णय अंमलात आणण्याची सुबुद्धी सरकारला लाभो 
16, देशाला प्रगतीपथावर नेताना पर्यावरण जतन आणि संवर्धन याकडे डोळेझाक करून चालणार नाही तापमान वाढीचा प्रश्न गंभीर स्वरूप धारण करत आहेत त्याचे दूरगामी परिणाम टाळण्यासाठी पर्यावरणविषयक जागर करण्याचा संकल्प करूया 
